-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  50.1215   Longitude 22.0097 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M,RH2M,PS,WS50M,WS10M,WS50M_RANGE,WS10M_RANGE,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
50.12151,22.00971,2015,03,16,   10.25,    4.68,    4.52,   75.07,  101.03,    8.76,    6.37,    3.26,    3.92,              3.95,              3.28
50.12151,22.00971,2015,03,17,   12.58,    3.55,    3.56,   62.43,  100.89,    9.17,    6.40,    5.10,    4.03,              4.12,              4.12
50.12151,22.00971,2015,03,18,   12.97,    1.75,    1.52,   63.46,  100.34,    6.85,    4.30,    4.09,    3.10,              4.16,              4.15
50.12151,22.00971,2015,03,19,   10.31,    1.54,    1.67,   76.47,   99.99,    5.19,    3.54,    4.51,    3.95,-999,              2.64
50.12151,22.00971,2015,03,20,   11.42,    3.37,    4.06,   64.22,   99.62,    2.46,    1.77,    5.59,    2.70,-999,-999
50.12151,22.00971,2015,03,21,   13.75,    5.39,    5.59,   65.14,   98.72,    6.41,    4.06,    2.28,    2.94,              4.28,              4.03
50.12151,22.00971,2015,03,22,    8.84,    1.97,    1.66,   75.13,   99.24,    6.45,    4.49,    2.91,    4.42,-999,              1.41
50.12151,22.00971,2015,03,23,   13.44,    1.13,    0.72,   55.33,   99.28,    5.50,    3.58,    4.14,    2.82,              4.51,              4.50
50.12151,22.00971,2015,03,24,   15.37,    6.29,    6.33,   66.86,   98.66,    7.86,    4.86,    3.80,    2.34,              4.47,              4.45
50.12151,22.00971,2015,03,25,   14.33,    9.91,    9.82,   75.51,   98.54,    6.24,    3.91,    3.94,    2.71,              4.44,              4.34
50.12151,22.00971,2015,03,26,   11.69,   11.68,   11.71,   75.41,   98.28,    6.36,    4.22,    3.50,    4.00,-999,              3.91
50.12151,22.00971,2015,03,27,   11.18,   11.59,   11.54,   80.53,   98.12,    3.30,    2.42,    6.36,    4.95,              4.47,              4.05
50.12151,22.00971,2015,03,28,    4.40,    4.42,    4.28,   90.45,   98.60,    7.16,    5.47,    3.20,    3.66,-999,              1.37
50.12151,22.00971,2015,03,29,    9.80,    7.27,    6.37,   75.17,   97.90,    4.89,    3.51,    5.02,    2.64,-999,              2.36
50.12151,22.00971,2015,03,30,    8.64,    7.51,    7.62,   78.85,   96.81,   10.34,    7.65,    6.04,    5.05,-999,              2.31
50.12151,22.00971,2015,03,31,    4.31,    4.75,    4.66,   81.94,   97.01,   11.01,    8.33,    8.28,    5.57,-999,              1.86
50.12151,22.00971,2015,04,01,    3.45,    3.12,    3.39,   81.46,   97.21,   13.73,   10.32,    5.06,    4.33,-999,              1.74
50.12151,22.00971,2015,04,02,    6.60,    2.14,    1.76,   81.60,   97.57,    9.29,    7.24,    7.29,    5.04,-999,              2.64
50.12151,22.00971,2015,04,03,    6.72,    1.84,    1.57,   85.18,   98.19,    9.08,    6.95,    3.67,    3.34,-999,              1.62
50.12151,22.00971,2015,04,04,    7.56,    1.90,    1.61,   77.72,   98.42,    5.69,    4.04,    2.44,    2.75,-999,              3.00
50.12151,22.00971,2015,04,05,    7.70,    1.52,    1.10,   80.04,   98.84,    5.50,    3.60,    2.41,    2.82,-999,              2.24
50.12151,22.00971,2015,04,06,    6.65,    1.63,    1.36,   83.48,   99.30,    5.21,    3.32,    5.01,    2.67,-999,              2.35
50.12151,22.00971,2015,04,07,   10.85,    4.32,    3.82,   73.57,   99.72,    7.60,    5.35,    3.91,    4.80,-999,              3.46
50.12151,22.00971,2015,04,08,    8.50,    7.11,    6.47,   75.67,   99.53,    7.26,    5.12,    2.76,    2.83,-999,              2.33
50.12151,22.00971,2015,04,09,   13.01,    6.79,    6.73,   53.36,  100.19,    4.66,    3.29,    8.39,    5.53,              5.49,              5.44
50.12151,22.00971,2015,04,10,   15.72,    9.13,    9.87,   53.44,   99.78,    5.16,    3.42,    5.17,    3.13,              5.48,              5.46
50.12151,22.00971,2015,04,11,   15.77,   11.24,   11.88,   54.78,   99.40,    5.04,    3.37,    3.77,    2.43,              5.51,              5.48
50.12151,22.00971,2015,04,12,   10.91,   11.11,   11.60,   67.28,   99.73,    7.26,    5.07,    8.00,    6.90,-999,              3.87
50.12151,22.00971,2015,04,13,   14.99,    8.91,    9.14,   62.19,   99.39,    9.38,    6.59,   11.52,    9.73,-999,              3.14
50.12151,22.00971,2015,04,14,    8.54,    6.65,    6.19,   59.82,   99.44,    8.55,    6.01,    3.51,    4.91,-999,              4.71
50.12151,22.00971,2015,04,15,   12.78,   11.38,   11.41,   74.50,   98.63,    9.59,    6.68,    3.72,    5.40,-999,              2.91
50.12151,22.00971,2015,04,16,   12.05,   12.94,   12.88,   68.37,   98.25,    8.88,    6.07,    4.69,    5.67,-999,              2.98
50.12151,22.00971,2015,04,17,    8.90,    8.37,    8.20,   65.14,   98.32,    5.33,    3.34,    5.11,    3.08,-999,              3.35
50.12151,22.00971,2015,04,18,    4.67,    4.58,    3.94,   76.26,   98.75,    7.33,    5.45,    2.94,    3.69,-999,              2.05
50.12151,22.00971,2015,04,19,    7.53,    5.41,    4.93,   75.01,   98.99,    7.66,    5.59,    4.56,    4.78,-999,              1.81
50.12151,22.00971,2015,04,20,    8.25,    6.85,    6.75,   63.99,   98.58,   11.21,    8.04,    7.89,    8.15,-999,              3.79
50.12151,22.00971,2015,04,21,   11.64,    6.64,    6.10,   70.79,   99.03,    6.74,    4.67,    3.16,    4.10,-999,              2.54
50.12151,22.00971,2015,04,22,   13.85,    9.05,    8.62,   61.03,   99.38,    3.28,    2.29,    4.36,    2.08,-999,              5.03
50.12151,22.00971,2015,04,23,   15.86,   11.13,   10.99,   60.00,   98.92,    7.23,    4.72,    3.95,    4.01,              6.22,              6.13
